train/n_updates,train/learning_rate,time/total_timesteps,time/time_elapsed,time/fps,train/loss,rollout/exploration_rate,time/episodes
250,0.001,602,5,112,0.5227249264717102,0.8024115533443894,1
551,0.001,1204,13,86,0.09358854591846466,0.6048231066887788,2
852,0.001,1806,25,70,0.049157317727804184,0.4072346600331672,3
1153,0.001,2408,33,72,0.22530022263526917,0.20964621337755662,4
1454,0.001,3010,39,75,0.03761526197195053,0.05,5
1755,0.001,3612,46,77,0.08060796558856964,0.05,6
2056,0.001,4214,53,78,0.08988560736179352,0.05,7
2357,0.001,4816,60,79,0.13167573511600494,0.05,8
2658,0.001,5418,70,76,0.021119005978107452,0.05,9
2959,0.001,6020,79,75,0.12579238414764404,0.05,10
3260,0.001,6622,86,76,0.062072839587926865,0.05,11
3561,0.001,7224,94,76,0.0596766322851181,0.05,12
3862,0.001,7826,102,76,0.20437999069690704,0.05,13
4163,0.001,8428,110,76,0.0745321735739708,0.05,14
4464,0.001,9030,118,76,0.017950359731912613,0.05,15
4465,0.001,9031,118,76,0.19536061584949493,0.05,16
4765,0.001,9632,125,76,0.11685130000114441,0.05,17
5066,0.001,10234,133,76,0.148507758975029,0.05,18
5367,0.001,10836,143,75,0.19287903606891632,0.05,19
5668,0.001,11438,152,75,0.23334744572639465,0.05,20
5969,0.001,12040,161,74,0.15123221278190613,0.05,21
6270,0.001,12642,169,74,0.1759037971496582,0.05,22
6571,0.001,13244,178,74,0.1411508321762085,0.05,23
6872,0.001,13846,186,74,0.16323257982730865,0.05,24
7173,0.001,14448,195,74,0.16783882677555084,0.05,25
7474,0.001,15050,203,74,0.2646182179450989,0.05,26
7775,0.001,15652,210,74,0.14068013429641724,0.05,27
8076,0.001,16254,220,73,0.2177933305501938,0.05,28
8377,0.001,16856,229,73,0.18012607097625732,0.05,29
8678,0.001,17458,236,73,0.28542694449424744,0.05,30
8979,0.001,18060,244,73,0.18294388055801392,0.05,31
8980,0.001,18061,244,73,0.2456660270690918,0.05,32
9280,0.001,18662,252,73,0.13782386481761932,0.05,33
9581,0.001,19264,261,73,0.15212395787239075,0.05,34
9882,0.001,19866,270,73,0.12059935182332993,0.05,35
10183,0.001,20468,278,73,0.09143891930580139,0.05,36
10484,0.001,21070,286,73,0.1240931823849678,0.05,37
10785,0.001,21672,294,73,0.20596468448638916,0.05,38
11086,0.001,22274,303,73,0.10026436299085617,0.05,39
11387,0.001,22876,311,73,0.10995552688837051,0.05,40
11688,0.001,23478,320,73,0.16319356858730316,0.05,41
11989,0.001,24080,328,73,0.24672473967075348,0.05,42
12290,0.001,24682,336,73,0.20778946578502655,0.05,43
12591,0.001,25284,345,73,0.19448214769363403,0.05,44
12892,0.001,25886,352,73,0.13139185309410095,0.05,45
13193,0.001,26488,360,73,0.24247872829437256,0.05,46
13494,0.001,27090,369,73,0.21763262152671814,0.05,47
13495,0.001,27091,369,73,0.18257808685302734,0.05,48
13795,0.001,27692,376,73,0.135781392455101,0.05,49
14096,0.001,28294,385,73,0.1004759818315506,0.05,50
14397,0.001,28896,392,73,0.1275303065776825,0.05,51
