time/total_timesteps,time/time_elapsed,time/fps,time/iterations,train/n_updates,train/kl_divergence_loss,train/policy_objective,train/learning_rate,train/explained_variance,train/value_loss,train/is_line_search_success
1012,1,591,1,,,,,,,
2024,14,138,2,1,0.0070549794472754,0.035620011389255524,0.001,-0.00018858909606933594,23.066516834497452,1.0
3036,26,113,3,2,0.00858983863145113,0.01884622871875763,0.001,-0.0032695531845092773,22.314190632104875,1.0
4048,37,109,4,3,0.009858893230557442,0.005867623258382082,0.001,0.0015426278114318848,23.43909058570862,1.0
5060,56,89,5,4,0.009986666962504387,-0.0022196024656295776,0.001,-0.006008505821228027,21.836235964298247,1.0
6072,64,94,6,5,0.0,-0.01934739015996456,0.001,-0.002118706703186035,18.481818014383315,0.0
7084,71,99,7,6,0.0,-0.015346593223512173,0.001,-0.010156989097595215,25.57800053358078,0.0
8096,78,103,8,7,0.0,-0.025124387815594673,0.001,-0.0015368461608886719,22.925446110963822,0.0
9108,85,106,9,8,0.0,-0.012950693257153034,0.001,0.0066318511962890625,20.587349623441696,0.0
10120,93,108,10,9,0.0,-0.014570845291018486,0.001,0.002399146556854248,21.063853335380553,0.0
1024,1,700,1,,,,0.001,,,
2048,10,191,2,1,0.007259752601385117,0.04453796148300171,0.001,-0.00013506412506103516,24.610118365287782,1.0
3072,21,140,3,2,0.006173908710479736,-0.011490845121443272,0.001,-0.021056294441223145,21.848158264160155,1.0
4096,28,143,4,3,0.009312169626355171,0.01715017296373844,0.001,0.0019214153289794922,21.89265713095665,1.0
5120,39,129,5,4,0.009000598452985287,0.015724923461675644,0.001,-0.001438736915588379,25.320179224014282,1.0
6144,49,125,6,5,0.009138204157352448,0.006378794088959694,0.001,0.0008548498153686523,22.882417458295823,1.0
7168,57,125,7,6,0.009134100750088692,-0.0017899717204272747,0.001,-0.0008614063262939453,23.79992304444313,1.0
8192,65,125,8,7,0.009757015854120255,0.0003882884047925472,0.001,0.006577610969543457,22.634643721580506,1.0
9216,73,124,9,8,0.0,-0.014282738789916039,0.001,-0.01712799072265625,18.799971348047258,0.0
10240,83,122,10,9,0.0,-0.01803586818277836,0.001,0.0037430524826049805,21.492566680908205,0.0
11264,91,122,11,10,0.0,-0.016270864754915237,0.001,0.009023785591125488,22.42100233435631,0.0
12288,99,122,12,11,0.0,-0.01825733669102192,0.001,-0.0024815797805786133,21.615151065587998,0.0
13312,107,123,13,12,0.0,-0.020548390224575996,0.001,0.01040571928024292,27.26346423625946,0.0
14336,119,119,14,13,0.0,-0.019599374383687973,0.001,0.003286302089691162,17.4451300740242,0.0
15360,127,120,15,14,0.0,-0.015298597514629364,0.001,0.007421910762786865,22.464876520633698,0.0
16384,136,120,16,15,0.0,-0.018386811017990112,0.001,-0.001260995864868164,23.917333948612214,0.0
17408,144,120,17,16,0.0,-0.020670199766755104,0.001,0.010239243507385254,21.904959577322007,0.0
18432,152,121,18,17,0.0,-0.014980082400143147,0.001,0.0033234357833862305,22.260385435819625,0.0
19456,160,121,19,18,0.0,-0.01811307482421398,0.001,2.5153160095214844e-05,21.26659117937088,0.0
